MANDT;SPRAS;BRSCH;BRTXT
100;ET;86;Kindlustusosakud
100;ET;91;Kaubandus
100;ET;92;Farmaatsiatööstus
100;ET;93;Publits. ja ajakirj.
100;ET;94;Keskkond
100;ET;99;Muu
100;AR;0001;الصناعة القياسية
100;AR;0002;الصناعة 0002
100;AR;0003;الصناعة 00003
100;AR;01;شركةقابضةمتنوعةنشاط
100;AR;02;خدمات مالية
100;AR;03;العقارات
100;AR;10;توزيع/إمداد الطاقة
100;AR;11;البترول والغاز
100;AR;12;مواد خام
100;AR;13;المعادن النفيسة
100;AR;21;صناعة الكيماويات
100;AR;22;الصحة
100;AR;23;الزجاج
100;AR;24;صناعة الإنشاء
100;AR;25;مورِّد البناء
100;AR;26;الورق وعجينة الورق
100;AR;27;خشب وبنية تحتية
100;AR;31;الغزل والنسيج
100;AR;32;ملابس
100;AR;41;الحديد والصلب
100;AR;42;مركبات
100;AR;43;مورِّد مركبات
100;AR;44;هندسة ميكانيكية
100;AR;45;ميكانيكية متخصصة
100;AR;46;هندسة أدوات الآلات
100;AR;47;إنشاء الطائرات
100;AR;51;معامل تخمير، مشروبات
100;AR;52;التغذية
100;AR;61;كهربائية/إلكترونية
100;AR;62;أ.كمبيوتر - م.بيانات
100;AR;63;البرامج
100;AR;64;الاتصالات عن بُعد
100;AR;71;المنتجات الاستهلاكية
100;AR;72;الحركة والنقل
100;AR;73;الترفيه والفنادق
100;AR;81;البنوك التجارية
100;AR;82;بنوك الرهونات
100;AR;83;التأمين على الحياة
100;AR;84;تأمين على غير الحياة
100;AR;85;إعادة التأمين
100;AR;86;شركات التأمين
100;AR;91;متاجرة
100;AR;92;التجارة الدوائية
100;AR;93;النشر ووسائل الإعلام
100;AR;94;البيئة
100;AR;99;متنوع
100;HE;0001;תעשייה תקנית
100;HE;0002;תעשיה 0002
100;HE;0003;תעשיה 0003
100;HE;01;החזקה מגוונת
100;HE;02;שירותים פיננסיים
100;HE;03;"נדל""ן"
100;HE;10;אספקת אנרגיה / הפצה
100;HE;11;נפט, גז
100;HE;12;חומרי גלם
100;HE;13;מתכות יקרות
100;HE;21;תעשייה כימית
100;HE;22;בריאות
100;HE;23;זכוכית
100;HE;24;תעשיית בנייה
100;HE;25;ספק בנייה
100;HE;26;נייר ועיסה
100;HE;27;עץ ותשתית
100;HE;31;מטויה, אריגה
100;HE;32;לבוש
100;HE;41;ברזל ופלדה
100;HE;42;כלי רכב
100;HE;43;ספק כלי רכב
100;HE;44;הנדסת מכונות
100;HE;45;מכונאי מומחה
100;HE;46;ייצור מכונות
100;HE;47;בניית כלי טייס
100;HE;51;מבשלות, משקאות
100;HE;52;תזונה
100;HE;61;מוצרי חשמל / חשמל
100;HE;62;מחשבים ועיבוד נתונים
100;HE;63;תוכנה
100;HE;64;טלקומוניקציה
100;HE;71;מוצרי צריכה
100;HE;72;תנועה ותחבורה
100;HE;73;פנאי ומלון
100;HE;81;בנקים מסחריים
100;HE;82;בנקים למשכנתאות
100;HE;83;ביטוחי חיים
100;HE;84;לא ביטוחי חיים
100;HE;85;ביטוחי משנה
100;HE;86;החזקות ביטוח
100;HE;91;סחר
100;HE;92;מסחר בתרופות
100;HE;93;פרסום ואמצעי תקשורת
100;HE;94;סביבה
100;HE;99;שונות
100;CS;0001;Standardní odvětví
100;CS;0002;Odvětví 0002
100;CS;0003;Odvětví 0003
100;CS;01;Diverzifik. holding
100;CS;02;Finanční služby
100;CS;03;Nemovitosti
100;CS;10;Dodáv./rozvod energ.
100;CS;11;Ropa, plyn
100;CS;12;Suroviny
100;CS;13;Drahé kovy
100;CS;21;Chemický průmysl
100;CS;22;Zdravotnictví
100;CS;23;Sklářství
100;CS;24;Stavebnictví
100;CS;25;Stavební dodavatel
100;CS;26;Papír a celulóza
100;CS;27;Dřevo a infrastrukt.
100;CS;31;Přádelny, tkalcovny
100;CS;32;Oděvnictví
100;CS;41;Železo a ocel
100;CS;42;Vozidla
100;CS;43;Prodejce vozidel
100;CS;44;Strojírenství
100;CS;45;Spec. strojírenství
100;CS;46;Výroba obráb. strojů
100;CS;47;Výroba letadel
100;CS;51;Pivovary, nápoje
100;CS;52;Výživa
100;CS;61;Elekt.zař./elektron.
100;CS;62;Počítače a zprac.dat
100;CS;63;Software
100;CS;64;Telekomunikace
100;CS;71;Spotřebitel.produkty
100;CS;72;Doprava a transport
100;CS;73;Volný čas a hotel
100;CS;81;Komerční banky
100;CS;82;Hypoteční banky
100;CS;83;Životní pojištění
100;CS;84;Majetkové pojištění
100;CS;85;Zajištění
100;CS;86;Pojišťovací holdingy
100;CS;91;Obchod
100;CS;92;Farmaceutický obchod
100;CS;93;Publikování a média
100;CS;94;Prostředí
100;CS;99;Ostatní
100;DE;0001;Standardbranche
100;DE;0002;Branche 0002
100;DE;0003;Branche 0003
100;DE;01;Diversifiz. Holdings
100;DE;02;Finanzdienstleist.
100;DE;03;Immobilien
100;DE;10;EnergVers./-verteil.
100;DE;11;Öl und Gas
100;DE;12;Rohstoffe
100;DE;13;Edelmetalle
100;DE;21;Chemie
100;DE;22;Gesundheitswesen
100;DE;23;Glas
100;DE;24;Bauindustrie
100;DE;25;Bauzulieferer
100;DE;26;Papier/Zellstoff
100;DE;27;Holz/Infrastruktur
100;DE;31;Spinnerei, Weberei
100;DE;32;Bekleidung
100;DE;41;Eisen und Stahl
100;DE;42;Fahrzeuge
100;DE;43;Fahrzeuglieferant
100;DE;44;Maschinenbau
100;DE;45;Spezialmaschinenbau
100;DE;46;Werkzeugmaschinenbau
100;DE;47;Flugzeugbau
100;DE;51;Brauereien, Getränke
100;DE;52;Ernährung
100;DE;61;ElekGer/ElekTechnik
100;DE;62;Comp./Datenverarb.
100;DE;63;Software
100;DE;64;Telekommunikation
100;DE;71;Konsumgüterindustrie
100;DE;72;Verkehr und Transp.
100;DE;73;Freizeit und Hotel
100;DE;81;Geschäftsbanken
100;DE;82;Hypothekenbanken
100;DE;83;Lebensversicherungen
100;DE;84;Sachversicherungen
100;DE;85;Rückversicherungen
100;DE;86;Versicherungshold.
100;DE;91;Handel
100;DE;92;Pharmahandel
100;DE;93;Verlag und Medien
100;DE;94;Umgebung
100;DE;99;Sonstiges
100;EN;0001;Standard Industry
100;EN;0002;Industry 0002
100;EN;0003;Industry 0003
100;EN;01;Diversified Holding
100;EN;02;Financial Services
100;EN;03;Real Estate
100;EN;10;Energy Supply / Dist
100;EN;11;Oil, Gas
100;EN;12;Raw Materials
100;EN;13;Precious Metals
100;EN;21;Chemical Industry
100;EN;22;Health
100;EN;23;Glass
100;EN;24;Construction Industr
100;EN;25;Building Supplier
100;EN;26;Paper and Pulp
100;EN;27;Timber and Infrastru
100;EN;31;Spinning Mill, Weavi
100;EN;32;Apparel
100;EN;41;Iron and Steel
100;EN;42;Vehicles
100;EN;43;Vehicle Supplier
100;EN;44;Mechanical Engineeri
100;EN;45;Specialized Mechanic
100;EN;46;Machine Tool Enginee
100;EN;47;Aircraft Constructio
100;EN;51;Breweries, Beverages
100;EN;52;Nutrition
100;EN;61;Electricals / Electr
100;EN;62;Computers and Data P
100;EN;63;Software
100;EN;64;Telecommunications
100;EN;71;Consumer Products
100;EN;72;Traffic and Transpor
100;EN;73;Leisure and Hotel
100;EN;81;Commercial Banks
100;EN;82;Mortgage Banks
100;EN;83;Life Insurances
100;EN;84;Non-Life Insurances
100;EN;85;Reinsurances
100;EN;86;Insurance Holdings
100;EN;91;Trading
100;EN;92;Pharmaceutical Trade
100;EN;93;Publishing and Media
100;EN;94;Environment
100;EN;99;Miscellaneous
100;FR;0001;Branche standard
100;FR;0002;Branche 0002
100;FR;0003;Branche 0003
100;FR;01;Holding divers
100;FR;02;Services financiers
100;FR;03;Biens immobiliers
100;FR;10;Fournis. énergies
100;FR;11;Hydrocarbures
100;FR;12;Matières premières
100;FR;13;Métaux précieux
100;FR;21;Industrie chimique
100;FR;22;Santé
100;FR;23;Verre
100;FR;24;Construction
100;FR;25;Construction fourn.
100;FR;26;Papier et Pâte
100;FR;27;Bois et infrastruct.
100;FR;31;Textile
100;FR;32;Habillement
100;FR;41;Fer et acier
100;FR;42;Véhicules
100;FR;43;Véhicule fournisseur
100;FR;44;Génie mécanique
100;FR;45;Mécanique spé.
100;FR;46;Machines-outils
100;FR;47;Construction aéron.
100;FR;51;Boissons, liquides
100;FR;52;Alimentation
100;FR;61;Électronique
100;FR;62;Informatique
100;FR;63;Logiciels
100;FR;64;Télécommunications
100;FR;71;Biens consommation
100;FR;72;Transports
100;FR;73;Hôtellerie/Loisirs
100;FR;81;Banques commerciales
100;FR;82;Prêt hypothécaire
100;FR;83;Assurance vie
100;FR;84;Assurance non-vie
100;FR;85;Réassurance
100;FR;86;Holding d'assurance
100;FR;91;Commerce
100;FR;92;Pharmaceutique
100;FR;93;Édition et médias
100;FR;94;Environnement
100;FR;99;Divers
100;EL;0001;Τυπική Βιομηχανία
100;EL;0002;Βιομηχανία 0002
100;EL;0003;Βιομηχανία 0003
100;EL;01;Διαφοροπ.Ετ.Χαρτοφ.
100;EL;02;Οικονομικ.Υπηρεσίες
100;EL;03;Ακίνητη Περιουσία
100;EL;10;Παροχή Ενέργ./Διαν.
100;EL;11;Πετρέλαιο, Αέριο
100;EL;12;Πρώτες Υλες
100;EL;13;Πολύτιμα Μέταλλα
100;EL;21;Χημική Βιομηχανία
100;EL;22;Υγεία
100;EL;23;Γυαλί
100;EL;24;Οικοδομ.Δραστηριότ.
100;EL;25;Προμηθευτής Κτηρίων
100;EL;26;Χαρτί και Χαρτοπολτ.
100;EL;27;Ξυλεία και Υποδομή
100;EL;31;Νηματουργία, Υφαντ.
100;EL;32;Συσκευή
100;EL;41;Σίδερο και Ατσάλι
100;EL;42;Οχήματα
100;EL;43;Προμηθευτής Οχημάτων
100;EL;44;Μηχανολογία
100;EL;45;Εξειδικ.Μηχανολογία
100;EL;46;Εργ.Μηχαν.Μηχανικής
100;EL;47;Κατασκευή Αεροσκαφών
100;EL;51;Ζυθοποιία, Ποτά
100;EL;52;Διατροφή
100;EL;61;Ηλεκτρ.Είδη/Ηλεκτρ.
100;EL;62;Υπολ.και Επεξ.Δεδ.
100;EL;63;Λογισμικό
100;EL;64;Τηλεπικοινωνίες
100;EL;71;ΚαταναλωτικάΠροϊόντα
100;EL;72;Κυκλοφορ.και Μεταφ.
100;EL;73;Αναψυχή και Διαμονή
100;EL;81;Εμπορικές Τράπεζες
100;EL;82;Tράπεζες Υποθηκών
100;EL;83;Ασφάλειες Ζωής
100;EL;84;Γενικές Ασφάλειες
100;EL;85;Αντασφαλίσεις
100;EL;86;Ασφαλ.Εταιρ.Χαρτοφ.
100;EL;91;Εμπόριο
100;EL;92;Εμπόριο Φαρμ.Προϊόντ
100;EL;93;Εκδοση και Μέσα
100;EL;94;Περιβάλλον
100;EL;99;Διάφορα
100;HU;0001;Standard ágazat
100;HU;0002;Iparág  0002
100;HU;0003;Iparág  0003
100;HU;01;Diverzif. holding
100;HU;02;Pü. szolgáltatások
100;HU;03;Ingatlan
100;HU;10;Energiaellátás/-elo.
100;HU;11;Olaj, gáz
100;HU;12;Nyersanyagok
100;HU;13;Nemesfémek
100;HU;21;Vegyipar
100;HU;22;Egészség
100;HU;23;Üveg
100;HU;24;Építőipar
100;HU;25;Építési vállalkozó
100;HU;26;Papír és rostanyag
100;HU;27;Faipar és infrastr.
100;HU;31;Fonoda, szövőgyár
100;HU;32;Ruházat
100;HU;41;Vas és acél
100;HU;42;Járművek
100;HU;43;Gépjármű szállítója
100;HU;44;Gépgyártás
100;HU;45;Spec. gépgyártás
100;HU;46;Szerszámgépgyártás
100;HU;47;Repülőgépgyártás
100;HU;51;Sörfőzdék, italok
100;HU;52;Táplálkozás
100;HU;61;Elektromos berend.
100;HU;62;Szám.gépek és adatf.
100;HU;63;Szoftver
100;HU;64;Telekommunikáció
100;HU;71;Fogyasztói termékek
100;HU;72;Közlekedés és száll.
100;HU;73;Szabadidő és hotel
100;HU;81;Kereskedelmi bankok
100;HU;82;Jelzáloghitelbankok
100;HU;83;Életbiztosítások
100;HU;84;Nem életbiztosítások
100;HU;85;Viszontbiztosítások
100;HU;86;Biztosítási holdingk
100;HU;91;Kereskedelem
100;HU;92;Gyógyszerkeresked.
100;HU;93;Kiadás és média
100;HU;94;Környezet
100;HU;99;Vegyes
100;IT;0001;Settore standard
100;IT;0002;Settore 0002
100;IT;0003;Settore 0003
100;IT;01;Holding divers.
100;IT;02;Servizi finanziari
100;IT;03;Beni immobiliari
100;IT;10;Forn./distr. energia
100;IT;11;Petrolio, gas
100;IT;12;Materie prime
100;IT;13;Metalli preziosi
100;IT;21;Industria chimica
100;IT;22;Sanità
100;IT;23;Vetro
100;IT;24;Industria edilizia
100;IT;25;Fornitore edile
100;IT;26;Carta e cellulosa
100;IT;27;Legno e infrastr.
100;IT;31;Filatura e tessitura
100;IT;32;Abbigliamento
100;IT;41;Ferro e acciaio
100;IT;42;Veicoli
100;IT;43;Fornitore veicoli
100;IT;44;Ingegneria meccanica
100;IT;45;Meccanica special.
100;IT;46;Macchine utensili
100;IT;47;Costr. velivoli
